chr	start	end	ID	coord
X	116436622	116461458	ENSG00000268104	X:116436622-116461458
X	154182596	154196135	ENSG00000268221	X:154182596-154196135
X	102215301	102229532	ENSG00000268235	X:102215301-102229532
17	137526	139067	ENSG00000268320	17:137526-139067
X	52926402	52995472	ENSG00000268350	X:52926402-52995472
X	52751132	52790305	ENSG00000268447	X:52751132-52790305
X	152749863	152753884	ENSG00000268606	X:152749863-152753884
X	105218929	105220674	ENSG00000268629	X:105218929-105220674
X	154585143	154586821	ENSG00000268651	X:154585143-154586821
X	149592515	149594716	ENSG00000268738	X:149592515-149594716
X	152708261	152714549	ENSG00000268902	X:152708261-152714549
X	152753921	152760222	ENSG00000268916	X:152753921-152760222
X	135713453	135723539	ENSG00000268940	X:135713453-135723539
X	143711955	143721423	ENSG00000268988	X:143711955-143721423
X	72781865	72782660	ENSG00000268994	X:72781865-72782660
X	135759846	135768191	ENSG00000269096	X:135759846-135768191
X	104063871	104076212	ENSG00000269226	X:104063871-104076212
X	49162564	49168483	ENSG00000269313	X:49162564-49168483
X	154541199	154565046	ENSG00000269335	X:154541199-154565046
X	102247161	102326719	ENSG00000269405	X:102247161-102326719
X	154257538	154271805	ENSG00000269433	X:154257538-154271805
X	102360395	102463274	ENSG00000269437	X:102360395-102463274
X	72872025	72943814	ENSG00000269502	X:72872025-72943814
X	149596556	149631912	ENSG00000269556	X:149596556-149631912
X	135881063	135889086	ENSG00000269586	X:135881063-135889086
1	149054027	149103561	ENSG00000269713	1:149054027-149103561
X	104099214	104157027	ENSG00000269743	X:104099214-104157027
X	48402078	48411910	ENSG00000269791	X:48402078-48411910
1	149854045	149861210	ENSG00000270276	1:149854045-149861210
1	146344006	146344790	ENSG00000270339	1:146344006-146344790
17	35854946	35868891	ENSG00000270379	17:35854946-35868891
1	148531385	148679751	ENSG00000270629	1:148531385-148679751
17	35713791	35864615	ENSG00000270647	17:35713791-35864615
17	35744511	35752878	ENSG00000270765	17:35744511-35752878
17	35760897	35765079	ENSG00000270806	17:35760897-35765079
1	149832659	149839767	ENSG00000270882	1:149832659-149839767
17	35731649	35743521	ENSG00000270885	17:35731649-35743521
X	135863776	135871812	ENSG00000270946	X:135863776-135871812
KI270711.1	4612	29626	ENSG00000271254	KI270711.1:4612-29626
1	149390623	149556361	ENSG00000271383	1:149390623-149556361
1	146064699	146144942	ENSG00000271425	1:146064699-146144942
17	35756249	35795707	ENSG00000271447	17:35756249-35795707
X	135811668	135820012	ENSG00000271449	X:135811668-135820012
17	35871491	35880793	ENSG00000271503	17:35871491-35880793
1	144372875	144373659	ENSG00000271567	1:144372875-144373659
1	145933423	145958001	ENSG00000271601	1:145933423-145958001
1	145959442	145964582	ENSG00000272031	1:145959442-145964582
1	149851061	149851624	ENSG00000272196	1:149851061-149851624
7	75416787	75486271	ENSG00000272391	7:75416787-75486271
6	106969831	106975627	ENSG00000272398	6:106969831-106975627
4	53285	88211	ENSG00000272602	4:53285-88211
5	141181399	141186399	ENSG00000272674	5:141181399-141186399
21	44600597	44612906	ENSG00000272804	21:44600597-44612906
3	53283428	53347610	ENSG00000272886	3:53283428-53347610
19	41837074	41844697	ENSG00000273111	19:41837074-41844697
1	120723923	120841481	ENSG00000273136	1:120723923-120841481
GL000205.2	99351	104855	ENSG00000273496	GL000205.2:99351-104855
17	37924415	37935365	ENSG00000273513	17:37924415-37935365
9	41126430	41128463	ENSG00000273514	9:41126430-41128463
7	73020338	73029766	ENSG00000273520	7:73020338-73029766
15	86079973	87029052	ENSG00000273540	15:86079973-87029052
6	27831216	27831527	ENSG00000273542	6:27831216-27831527
KI270728.1	1139577	1147868	ENSG00000273554	KI270728.1:1139577-1147868
17	38800434	38825481	ENSG00000273559	17:38800434-38825481
21	7744962	7777853	ENSG00000273590	21:7744962-7777853
17	38671703	38675421	ENSG00000273604	17:38671703-38675421
17	36486629	36499310	ENSG00000273611	17:36486629-36499310
X	135829247	135837268	ENSG00000273696	X:135829247-135837268
6	27815044	27815424	ENSG00000273703	6:27815044-27815424
17	36936785	36944612	ENSG00000273706	17:36936785-36944612
GL000219.1	54224	83311	ENSG00000273748	GL000219.1:54224-83311
15	22867052	22981063	ENSG00000273749	15:22867052-22981063
19	44501677	44529788	ENSG00000273777	19:44501677-44529788
6	26215159	26216692	ENSG00000273802	6:26215159-26216692
X	49879948	49882565	ENSG00000273820	X:49879948-49882565
5	69364743	69370013	ENSG00000273841	5:69364743-69370013
22	37681673	37693478	ENSG00000273899	22:37681673-37693478
2	89330110	89330429	ENSG00000273962	2:89330110-89330429
15	23128268	23136822	ENSG00000273976	15:23128268-23136822
6	26269405	26271815	ENSG00000273983	6:26269405-26271815
7	74964818	75024798	ENSG00000274070	7:74964818-75024798
15	22080527	22081659	ENSG00000274102	15:22080527-22081659
KI270728.1	17234	19833	ENSG00000274175	KI270728.1:17234-19833
17	21238870	21253410	ENSG00000274180	17:21238870-21253410
X	154884972	154885558	ENSG00000274183	X:154884972-154885558
10	46286345	46330207	ENSG00000274209	10:46286345-46330207
17	38352228	38405593	ENSG00000274211	17:38352228-38405593
17	36377531	36388423	ENSG00000274226	17:36377531-36388423
22	18516344	18518161	ENSG00000274252	22:18516344-18518161
X	49331616	49338952	ENSG00000274274	X:49331616-49338952
21	6444869	6468040	ENSG00000274276	21:6444869-6468040
2	96112875	96116245	ENSG00000274286	2:96112875-96116245
6	26172059	26184655	ENSG00000274290	6:26172059-26184655
9	66856426	66932141	ENSG00000274349	9:66856426-66932141
1	42785007	42816619	ENSG00000274386	1:42785007-42816619
21	10521553	10606140	ENSG00000274391	21:10521553-10606140
17	38003976	38014902	ENSG00000274419	17:38003976-38014902
8	73241329	73259502	ENSG00000274443	8:73241329-73259502
17	37977972	37989048	ENSG00000274512	17:37977972-37989048
7	75027122	75074228	ENSG00000274523	7:75027122-75074228
17	28364268	28365244	ENSG00000274529	17:28364268-28365244
21	5972956	5973333	ENSG00000274559	21:5972956-5973333
X	50365409	50470738	ENSG00000274588	X:50365409-50470738
22	21383374	21389478	ENSG00000274600	22:21383374-21389478
17	38181659	38192541	ENSG00000274611	17:38181659-38192541
6	26240426	26240737	ENSG00000274618	6:26240426-26240737
6	27893463	27893843	ENSG00000274641	6:27893463-27893843
17	36013056	36017968	ENSG00000274736	17:36013056-36017968
18	46962768	46964408	ENSG00000274744	18:46962768-46964408
21	30829039	30829759	ENSG00000274749	21:30829039-30829759
6	26224199	26227473	ENSG00000274750	6:26224199-26227473
1	13049476	13056491	ENSG00000274764	1:13049476-13056491
X	155382115	155383230	ENSG00000274791	X:155382115-155383230
KI270727.1	386278	387620	ENSG00000274792	KI270727.1:386278-387620
17	36165681	36176636	ENSG00000274808	17:36165681-36176636
3	132558142	132722459	ENSG00000274810	3:132558142-132722459
GL000194.1	53594	115055	ENSG00000274847	GL000194.1:53594-115055
11	797511	799190	ENSG00000274897	11:797511-799190
17	36253456	36264553	ENSG00000274933	17:36253456-36264553
1	38864501	38881617	ENSG00000274944	1:38864501-38881617
6	27147129	27147515	ENSG00000274997	6:27147129-27147515
22	22484421	22509154	ENSG00000275004	22:22484421-22509154
17	38705542	38729803	ENSG00000275023	17:38705542-38729803
16	33303739	33306935	ENSG00000275034	16:33303739-33306935
2	55547292	55618880	ENSG00000275052	2:55547292-55618880
KI270726.1	41444	41876	ENSG00000275063	KI270726.1:41444-41876
17	37514797	37609496	ENSG00000275066	17:37514797-37609496
8	22106872	22109419	ENSG00000275074	8:22106872-22109419
2	95165432	95184317	ENSG00000275111	2:95165432-95184317
X	49341192	49345922	ENSG00000275113	X:49341192-49345922
6	27873199	27873510	ENSG00000275126	6:27873199-27873510
17	35976493	35981496	ENSG00000275152	17:35976493-35981496
3	178419123	178843300	ENSG00000275163	3:178419123-178843300
19	54461796	54463711	ENSG00000275183	19:54461796-54463711
6	27837947	27838339	ENSG00000275221	6:27837947-27838339
KI270727.1	372322	373405	ENSG00000275249	KI270727.1:372322-373405
17	36103590	36105621	ENSG00000275302	17:36103590-36105621
8	8317736	8386498	ENSG00000275342	8:8317736-8386498
7	124777292	124790689	ENSG00000275356	7:124777292-124790689
6	27871905	27872315	ENSG00000275379	6:27871905-27872315
17	36064280	36072032	ENSG00000275385	17:36064280-36072032
19	39863323	39934626	ENSG00000275395	19:39863323-39934626
17	37686432	37745247	ENSG00000275410	17:37686432-37745247
21	5130871	5154734	ENSG00000275464	21:5130871-5154734
17	38835088	38841455	ENSG00000275489	17:38835088-38841455
9	41644430	41644770	ENSG00000275493	9:41644430-41644770
X	72938163	72938958	ENSG00000275520	X:72938163-72938958
7	2474844	2476894	ENSG00000275572	7:2474844-2476894
8	6808517	6835644	ENSG00000275591	8:6808517-6835644
6	26246681	26246977	ENSG00000275663	6:26246681-26246977
15	90266317	90314499	ENSG00000275674	15:90266317-90314499
17	36948875	37056871	ENSG00000275700	17:36948875-37056871
6	26251651	26253710	ENSG00000275713	6:26251651-26253710
6	26020490	26020900	ENSG00000275714	6:26020490-26020900
17	35996440	36002038	ENSG00000275718	17:35996440-36002038
17	35934518	35943699	ENSG00000275722	17:35934518-35943699
5	146203550	146339251	ENSG00000275740	5:146203550-146339251
1	13115496	13116854	ENSG00000275774	1:13115496-13116854
12	10845849	11171598	ENSG00000275778	12:10845849-11171598
22	18605815	18611919	ENSG00000275793	22:18605815-18611919
17	38419280	38512392	ENSG00000275832	17:38419280-38512392
15	22983192	23039673	ENSG00000275835	15:22983192-23039673
KI270728.1	933862	936467	ENSG00000275869	KI270728.1:933862-936467
21	6484623	6499261	ENSG00000275895	21:6484623-6499261
7	142760398	142774564	ENSG00000275896	7:142760398-142774564
17	36428618	36439566	ENSG00000275954	17:36428618-36439566
9	66986304	66992583	ENSG00000275969	9:66986304-66992583
21	6111134	6123739	ENSG00000275993	21:6111134-6123739
KI270734.1	72411	74814	ENSG00000276017	KI270734.1:72411-74814
17	37489831	37513501	ENSG00000276023	17:37489831-37513501
9	61190003	61196280	ENSG00000276040	9:61190003-61196280
19	4903080	4962154	ENSG00000276043	19:4903080-4962154
12	121626550	121642677	ENSG00000276045	12:121626550-121642677
17	36210924	36212878	ENSG00000276070	17:36210924-36212878
21	6560714	6564489	ENSG00000276076	21:6560714-6564489
17	36194869	36196758	ENSG00000276085	17:36194869-36196758
9	104604671	104605627	ENSG00000276119	9:104604671-104605627
6	27138588	27139881	ENSG00000276180	6:27138588-27139881
9	66106815	66153135	ENSG00000276203	9:66106815-66153135
17	8802723	8867677	ENSG00000276231	17:8802723-8867677
17	37406874	37479730	ENSG00000276234	17:37406874-37479730
14	21669990	21670935	ENSG00000276240	14:21669990-21670935
GL000195.1	42939	49164	ENSG00000276256	GL000195.1:42939-49164
21	7816675	7829926	ENSG00000276289	21:7816675-7829926
17	38765689	38800126	ENSG00000276293	17:38765689-38800126
6	28267121	28281580	ENSG00000276302	6:28267121-28281580
KI270721.1	2585	11802	ENSG00000276345	KI270721.1:2585-11802
6	27814354	27814740	ENSG00000276368	6:27814354-27814740
17	35983291	35987004	ENSG00000276409	17:35983291-35987004
6	26043277	26043657	ENSG00000276410	6:26043277-26043657
10	47995355	47999791	ENSG00000276430	10:47995355-47999791
5	141397987	141512979	ENSG00000276547	5:141397987-141512979
9	60914374	60920650	ENSG00000276581	9:60914374-60920650
1	205976740	206003461	ENSG00000276600	1:205976740-206003461
21	5116343	5133805	ENSG00000276612	21:5116343-5133805
13	71437966	71867192	ENSG00000276644	13:71437966-71867192
1	17372196	17401699	ENSG00000276747	1:17372196-17401699
KI270727.1	136160	167571	ENSG00000276760	KI270727.1:136160-167571
6	27865355	27865747	ENSG00000276903	6:27865355-27865747
22	23998401	24005453	ENSG00000276950	22:23998401-24005453
6	26204552	26206038	ENSG00000276966	6:26204552-26206038
1	13060869	13062229	ENSG00000277058	1:13060869-13062229
6	26216975	26217483	ENSG00000277075	6:26216975-26217483
21	5022493	5040666	ENSG00000277117	21:5022493-5040666
7	72558744	72828198	ENSG00000277149	7:72558744-72828198
X	155456914	155458672	ENSG00000277150	X:155456914-155458672
6	26188765	26189076	ENSG00000277157	6:26188765-26189076
17	36535020	36539310	ENSG00000277161	17:36535020-36539310
KI270734.1	138082	161852	ENSG00000277196	KI270734.1:138082-161852
X	154886349	154888061	ENSG00000277203	X:154886349-154888061
6	26199520	26200715	ENSG00000277224	6:26199520-26200715
17	38733897	38749817	ENSG00000277258	17:38733897-38749817
21	7769796	7770546	ENSG00000277277	21:7769796-7770546
10	44292569	44294649	ENSG00000277288	10:44292569-44294649
15	20531856	20541800	ENSG00000277322	15:20531856-20541800
17	38530016	38605930	ENSG00000277363	17:38530016-38605930
17	38325530	38343847	ENSG00000277399	17:38325530-38343847
GL000194.1	53590	115018	ENSG00000277400	GL000194.1:53590-115018
6	113857362	113863471	ENSG00000277443	6:113857362-113863471
1	247036784	247078755	ENSG00000277462	1:247036784-247078755
KI270713.1	31698	32528	ENSG00000277475	KI270713.1:31698-32528
16	71929538	71999978	ENSG00000277481	16:71929538-71999978
8	143213193	143217170	ENSG00000277494	8:143213193-143217170
19	46424697	46428951	ENSG00000277531	19:46424697-46428951
X	119073226	119076373	ENSG00000277535	X:119073226-119076373
9	104598457	104599413	ENSG00000277556	9:104598457-104599413
8	24950955	24957110	ENSG00000277586	8:24950955-24957110
GL000213.1	108007	139659	ENSG00000277630	GL000213.1:108007-139659
17	36088256	36090169	ENSG00000277632	17:36088256-36090169
16	53035690	53052873	ENSG00000277639	16:53035690-53052873
KI270727.1	100123	101141	ENSG00000277666	KI270727.1:100123-101141
1	11012662	11030528	ENSG00000277726	1:11012662-11030528
X	155459415	155460005	ENSG00000277745	X:155459415-155460005
10	47750864	47763592	ENSG00000277758	10:47750864-47763592
KI270728.1	1167457	1257196	ENSG00000277761	KI270728.1:1167457-1257196
6	26250195	26250605	ENSG00000277775	6:26250195-26250605
17	38752736	38764231	ENSG00000277791	17:38752736-38764231
KI270728.1	1270984	1271271	ENSG00000277836	KI270728.1:1270984-1271271
KI270726.1	26241	26534	ENSG00000277856	KI270726.1:26241-26534
X	155380787	155381134	ENSG00000277858	X:155380787-155381134
15	22458903	22469230	ENSG00000277865	15:22458903-22469230
2	31522480	31581067	ENSG00000277893	2:31522480-31581067
11	5900777	5902090	ENSG00000277932	11:5900777-5902090
17	38730235	38735044	ENSG00000277972	17:38730235-38735044
17	35918066	35930773	ENSG00000278023	17:35918066-35930773
17	37609739	37643464	ENSG00000278053	17:37609739-37643464
X	154271265	154295853	ENSG00000278057	X:154271265-154295853
X	135846499	135854538	ENSG00000278085	X:135846499-135854538
19	58278951	58302805	ENSG00000278129	19:58278951-58302805
1	46043661	46176488	ENSG00000278139	1:46043661-46176488
22	37204238	37212322	ENSG00000278195	22:37204238-37212322
GL000195.1	173872	179372	ENSG00000278198	GL000195.1:173872-179372
6	41783474	41787129	ENSG00000278224	6:41783474-41787129
17	36495633	36543435	ENSG00000278259	17:36495633-36543435
X	135794706	135802656	ENSG00000278289	X:135794706-135802656
17	38057693	38068592	ENSG00000278299	17:38057693-38068592
17	36544888	36589848	ENSG00000278311	17:36544888-36589848
19	44417519	44448578	ENSG00000278318	19:44417519-44448578
GL000218.1	51867	54893	ENSG00000278384	GL000218.1:51867-54893
6	26033176	26033568	ENSG00000278463	6:26033176-26033568
17	37375986	37392708	ENSG00000278505	17:37375986-37392708
15	21408243	21440451	ENSG00000278522	15:21408243-21440451
17	36591798	36600806	ENSG00000278535	17:36591798-36600806
17	37084988	37406818	ENSG00000278540	17:37084988-37406818
22	18527802	18530573	ENSG00000278558	22:18527802-18530573
15	71792638	71818259	ENSG00000278570	15:71792638-71818259
6	26272976	26273356	ENSG00000278588	6:26272976-26273356
17	38127951	38138862	ENSG00000278599	17:38127951-38138862
11	62662816	62665217	ENSG00000278615	11:62662816-62665217
17	36601572	36608971	ENSG00000278619	17:36601572-36608971
KI270731.1	10598	13001	ENSG00000278633	KI270731.1:10598-13001
6	26021679	26021990	ENSG00000278637	6:26021679-26021990
X	120877496	120878924	ENSG00000278646	X:120877496-120878924
15	82339998	82349475	ENSG00000278662	15:82339998-82349475
18	47022287	47023927	ENSG00000278674	18:47022287-47023927
6	27892757	27893149	ENSG00000278677	6:27892757-27893149
7	151190873	151205496	ENSG00000278685	7:151190873-151205496
GL000009.2	56140	58376	ENSG00000278704	GL000009.2:56140-58376
6	26026815	26027252	ENSG00000278705	6:26026815-26027252
KI270728.1	1157687	1240349	ENSG00000278782	KI270728.1:1157687-1240349
X	153276841	153277803	ENSG00000278803	X:153276841-153277803
KI270734.1	131494	137392	ENSG00000278817	KI270734.1:131494-137392
6	27810064	27811300	ENSG00000278828	6:27810064-27811300
17	38297023	38323218	ENSG00000278845	17:38297023-38323218
16	33459045	33462249	ENSG00000278848	16:33459045-33462249
11	4923374	4924339	ENSG00000278870	11:4923374-4924339
9	35957108	35958154	ENSG00000278889	9:35957108-35958154
21	7788703	7793954	ENSG00000278961	21:7788703-7793954
11	7927633	7928662	ENSG00000279000	11:7927633-7928662
11	5323359	5324297	ENSG00000279012	11:5323359-5324297
11	58030930	58031931	ENSG00000279051	11:58030930-58031931
1	158578919	158579899	ENSG00000279111	1:158578919-158579899
11	124319238	124320288	ENSG00000279116	11:124319238-124320288
1	13196823	13199589	ENSG00000279169	1:13196823-13199589
6	99587611	99589898	ENSG00000279170	6:99587611-99589898
1	247948858	247949796	ENSG00000279263	1:247948858-247949796
11	4803433	4804380	ENSG00000279270	11:4803433-4804380
1	248626178	248627128	ENSG00000279301	1:248626178-248627128
11	55811467	55812402	ENSG00000279395	11:55811467-55812402
15	21651844	21653039	ENSG00000279408	15:21651844-21653039
11	6785017	6786014	ENSG00000279486	11:6785017-6786014
21	5011799	5017145	ENSG00000279493	21:5011799-5017145
11	55572128	55573060	ENSG00000279514	11:55572128-55573060
11	55773438	55774382	ENSG00000279761	11:55773438-55774382
15	92883413	92949230	ENSG00000279765	15:92883413-92949230
1	144592868	144593527	ENSG00000279782	1:144592868-144593527
1	13222695	13226133	ENSG00000279804	1:13222695-13226133
11	56417258	56418232	ENSG00000279961	11:56417258-56418232
6	138725211	138773652	ENSG00000279968	6:138725211-138773652
5	141223372	141245861	ENSG00000279983	5:141223372-141245861
11	4768979	4769938	ENSG00000280021	11:4768979-4769938
21	5079294	5128425	ENSG00000280071	21:5079294-5128425
11	124423904	124424893	ENSG00000280090	11:124423904-124424893
9	122628579	122629573	ENSG00000280094	9:122628579-122629573
13	61409685	61415522	ENSG00000280165	13:61409685-61415522
11	58214745	58215723	ENSG00000280204	11:58214745-58215723
6	29396555	29397623	ENSG00000280236	6:29396555-29397623
1	13148905	13155961	ENSG00000280267	1:13148905-13155961
11	56318307	56319245	ENSG00000280314	11:56318307-56319245
21	5155499	5165472	ENSG00000280433	21:5155499-5165472
3	42757177	42804518	ENSG00000280571	3:42757177-42804518
1	45493866	45500079	ENSG00000280670	1:45493866-45500079
15	21552795	21653276	ENSG00000280709	15:21552795-21653276
1	145927258	145977811	ENSG00000280778	1:145927258-145977811
16	29815952	29820117	ENSG00000280789	16:29815952-29820117
Y	20756164	20781032	ENSG00000280969	Y:20756164-20781032
5	139273752	139331677	ENSG00000280987	5:139273752-139331677
7	30497077	30550761	ENSG00000281039	7:30497077-30550761
13	51813347	51845175	ENSG00000281106	13:51813347-51845175
1	205434886	205437879	ENSG00000281406	1:205434886-205437879
6	112236806	112350094	ENSG00000281613	6:112236806-112350094
7	150716668	150743646	ENSG00000281887	7:150716668-150743646
16	30740381	30744281	ENSG00000281991	16:30740381-30744281
6	117318211	117573571	ENSG00000282218	6:117318211-117573571
10	13610047	13655929	ENSG00000282246	10:13610047-13655929
4	53377839	54295272	ENSG00000282278	4:53377839-54295272
7	99684957	99735102	ENSG00000282301	7:99684957-99735102
X	124246249	124336862	ENSG00000282419	X:124246249-124336862
1	111499429	111503760	ENSG00000282608	1:111499429-111503760
16	75694434	75700152	ENSG00000282757	16:75694434-75700152
6	24797373	24809798	ENSG00000282804	6:24797373-24809798
X	125320120	125325214	ENSG00000282815	X:125320120-125325214
1	26164161	26168581	ENSG00000282872	1:26164161-26168581
1	46532166	46533614	ENSG00000282881	1:46532166-46533614
17	6636780	6640316	ENSG00000282936	17:6636780-6640316
6	26195595	26199293	ENSG00000282988	6:26195595-26199293
1	44137821	44141631	ENSG00000283039	1:44137821-44141631
14	103084210	103090027	ENSG00000283071	14:103084210-103090027
X	51681212	51682831	ENSG00000283093	X:51681212-51682831
3	186581995	186597103	ENSG00000283149	3:186581995-186597103
3	159069433	159896774	ENSG00000283154	3:159069433-159896774
3	49416777	49429314	ENSG00000283189	3:49416777-49429314
13	113953705	113973997	ENSG00000283199	13:113953705-113973997
19	23222755	23274221	ENSG00000283201	19:23222755-23274221
9	87956214	87956883	ENSG00000283205	9:87956214-87956883
13	76992078	77129589	ENSG00000283208	13:76992078-77129589
1	152947154	152949258	ENSG00000283227	1:152947154-152949258
7	45860008	45873082	ENSG00000283247	7:45860008-45873082
7	90316503	90321308	ENSG00000283267	7:90316503-90321308
11	62832319	62832803	ENSG00000283268	11:62832319-62832803
5	139470778	139474772	ENSG00000283288	5:139470778-139474772
12	2849039	2857083	ENSG00000283297	12:2849039-2857083
7	17299295	17467234	ENSG00000283321	7:17299295-17467234
1	150887136	150913292	ENSG00000283324	1:150887136-150913292
9	38694263	38720428	ENSG00000283329	9:38694263-38720428
13	114179238	114223084	ENSG00000283361	13:114179238-114223084
9	61330717	61453030	ENSG00000283378	9:61330717-61453030
2	224703764	224716365	ENSG00000283428	2:224703764-224716365
3	88338413	88467562	ENSG00000283434	3:88338413-88467562
17	7428903	7432762	ENSG00000283439	17:7428903-7432762
X	149929645	149931287	ENSG00000283463	X:149929645-149931287
3	46581150	46626543	ENSG00000283473	3:46581150-46626543
10	133309410	133352529	ENSG00000283496	10:133309410-133352529
16	8881634	8885351	ENSG00000283516	16:8881634-8885351
9	131545514	131558620	ENSG00000283526	9:131545514-131558620
7	143639230	143836708	ENSG00000283528	7:143639230-143836708
12	53241889	53245134	ENSG00000283536	12:53241889-53245134
19	55463002	55464707	ENSG00000283567	19:55463002-55464707
X	72912615	72913401	ENSG00000283594	X:72912615-72913401
15	98437162	98547728	ENSG00000283597	15:98437162-98547728
X	71667542	71671524	ENSG00000283599	X:71667542-71671524
19	45212621	45245431	ENSG00000283632	19:45212621-45245431
X	135309480	135309659	ENSG00000283644	X:135309480-135309659
14	23099065	23104992	ENSG00000283654	14:23099065-23104992
1	171600621	171638799	ENSG00000283683	1:171600621-171638799
X	149548210	149549852	ENSG00000283697	X:149548210-149549852
